lambda intensity
350.00 -0.000
351.00 0.579
352.00 0.256
353.00 0.115
354.00 0.248
355.00 0.351
356.00 -0.368
357.00 0.061
358.00 0.134
359.00 0.002
360.00 0.024
361.00 -0.978
362.00 -0.783
363.00 -0.228
364.00 0.190
365.00 0.454
366.00 1.001
367.00 0.337
368.00 0.863
369.00 -0.000
370.00 0.224
371.00 0.204
372.00 -0.058
373.00 0.038
374.00 0.068
375.00 0.020
376.00 0.130
377.00 0.031
378.00 -0.217
379.00 0.185
380.00 -0.000
381.00 0.167
382.00 0.267
383.00 0.110
384.00 -0.015
385.00 0.222
386.00 0.127
387.00 0.045
388.00 0.107
389.00 0.079
390.00 0.097
391.00 0.014
392.00 0.080
393.00 0.022
394.00 0.059
395.00 0.151
396.00 0.094
397.00 0.099
398.00 0.096
399.00 0.090
400.00 0.082
401.00 0.105
402.00 0.092
403.00 0.059
404.00 0.061
405.00 0.076
406.00 0.102
407.00 0.063
408.00 0.081
409.00 0.071
410.00 0.058
411.00 0.051
412.00 0.093
413.00 0.068
414.00 0.078
415.00 0.112
416.00 0.069
417.00 0.095
418.00 0.099
419.00 0.102
420.00 0.079
421.00 0.078
422.00 0.085
423.00 0.084
424.00 0.068
425.00 0.066
426.00 0.079
427.00 0.081
428.00 0.072
429.00 0.093
430.00 0.073
431.00 0.074
432.00 0.082
433.00 0.083
434.00 0.080
435.00 0.062
436.00 0.074
437.00 0.075
438.00 0.081
439.00 0.077
440.00 0.075
441.00 0.077
442.00 0.079
443.00 0.080
444.00 0.074
445.00 0.080
446.00 0.078
447.00 0.081
448.00 0.074
449.00 0.073
450.00 0.084
451.00 0.077
452.00 0.076
453.00 0.075
454.00 0.079
455.00 0.073
456.00 0.072
457.00 0.079
458.00 0.075
459.00 0.075
460.00 0.078
461.00 0.092
462.00 0.085
463.00 0.091
464.00 0.088
465.00 0.073
466.00 0.078
467.00 0.078
468.00 0.080
469.00 0.085
470.00 0.088
471.00 0.084
472.00 0.083
473.00 0.082
474.00 0.080
475.00 0.085
476.00 0.082
477.00 0.094
478.00 0.085
479.00 0.089
480.00 0.098
481.00 0.093
482.00 0.088
483.00 0.091
484.00 0.100
485.00 0.096
486.00 0.105
487.00 0.098
488.00 0.098
489.00 0.094
490.00 0.101
491.00 0.092
492.00 0.113
493.00 0.099
494.00 0.095
495.00 0.110
496.00 0.111
497.00 0.105
498.00 0.110
499.00 0.119
500.00 0.116
501.00 0.119
502.00 0.118
503.00 0.121
504.00 0.126
505.00 0.126
506.00 0.126
507.00 0.118
508.00 0.129
509.00 0.139
510.00 0.138
511.00 0.145
512.00 0.147
513.00 0.147
514.00 0.156
515.00 0.155
516.00 0.155
517.00 0.160
518.00 0.163
519.00 0.170
520.00 0.168
521.00 0.167
522.00 0.176
523.00 0.175
524.00 0.181
525.00 0.175
526.00 0.185
527.00 0.184
528.00 0.177
529.00 0.184
530.00 0.183
531.00 0.195
532.00 0.196
533.00 0.197
534.00 0.201
535.00 0.199
536.00 0.206
537.00 0.212
538.00 0.216
539.00 0.226
540.00 0.229
541.00 0.237
542.00 0.240
543.00 0.247
544.00 0.258
545.00 0.262
546.00 0.267
547.00 0.278
548.00 0.292
549.00 0.291
550.00 0.302
551.00 0.308
552.00 0.312
553.00 0.321
554.00 0.321
555.00 0.329
556.00 0.328
557.00 0.339
558.00 0.337
559.00 0.338
560.00 0.337
561.00 0.340
562.00 0.332
563.00 0.333
564.00 0.329
565.00 0.320
566.00 0.309
567.00 0.296
568.00 0.300
569.00 0.288
570.00 0.277
571.00 0.278
572.00 0.273
573.00 0.267
574.00 0.269
575.00 0.265
576.00 0.273
577.00 0.262
578.00 0.269
579.00 0.278
580.00 0.282
581.00 0.289
582.00 0.295
583.00 0.296
584.00 0.305
585.00 0.320
586.00 0.329
587.00 0.334
588.00 0.349
589.00 0.356
590.00 0.367
591.00 0.378
592.00 0.385
593.00 0.394
594.00 0.404
595.00 0.415
596.00 0.427
597.00 0.428
598.00 0.440
599.00 0.447
600.00 0.451
601.00 0.458
602.00 0.459
603.00 0.471
604.00 0.476
605.00 0.473
606.00 0.485
607.00 0.486
608.00 0.494
609.00 0.496
610.00 0.498
611.00 0.506
612.00 0.511
613.00 0.509
614.00 0.517
615.00 0.527
616.00 0.534
617.00 0.539
618.00 0.548
619.00 0.563
620.00 0.575
621.00 0.584
622.00 0.608
623.00 0.626
624.00 0.648
625.00 0.672
626.00 0.691
627.00 0.720
628.00 0.746
629.00 0.773
630.00 0.810
631.00 0.841
632.00 0.879
633.00 0.908
634.00 0.949
635.00 0.979
636.00 1.028
637.00 1.071
638.00 1.109
639.00 1.147
640.00 1.194
641.00 1.238
642.00 1.289
643.00 1.317
644.00 1.362
645.00 1.393
646.00 1.410
647.00 1.429
648.00 1.457
649.00 1.485
650.00 1.489
651.00 1.496
652.00 1.492
653.00 1.482
654.00 1.479
655.00 1.464
656.00 1.425
657.00 1.418
658.00 1.368
659.00 1.346
660.00 1.290
661.00 1.241
662.00 1.201
663.00 1.146
664.00 1.097
665.00 1.050
666.00 0.974
667.00 0.915
668.00 0.860
669.00 0.802
670.00 0.738
671.00 0.688
672.00 0.627
673.00 0.580
674.00 0.534
675.00 0.492
676.00 0.451
677.00 0.413
678.00 0.370
679.00 0.337
680.00 0.310
681.00 0.279
682.00 0.264
683.00 0.230
684.00 0.214
685.00 0.197
686.00 0.182
687.00 0.170
688.00 0.155
689.00 0.151
690.00 0.140
691.00 0.127
692.00 0.123
693.00 0.116
694.00 0.110
695.00 0.102
696.00 0.105
697.00 0.103
698.00 0.096
699.00 0.092
700.00 0.090
701.00 0.086
702.00 0.081
703.00 0.087
704.00 0.082
705.00 0.078
706.00 0.075
707.00 0.077
708.00 0.077
709.00 0.071
710.00 0.069
711.00 0.069
712.00 0.070
713.00 0.072
714.00 0.069
715.00 0.070
716.00 0.068
717.00 0.068
718.00 0.068
719.00 0.065
720.00 0.056
721.00 0.059
722.00 0.062
723.00 0.060
724.00 0.063
725.00 0.068
726.00 0.062
727.00 0.064
728.00 0.061
729.00 0.063
730.00 0.057
731.00 0.054
732.00 0.050
733.00 0.064
734.00 0.065
735.00 0.060
736.00 0.061
737.00 0.063
738.00 0.055
739.00 0.060
740.00 0.060
741.00 0.057
742.00 0.058
743.00 0.058
744.00 0.059
745.00 0.064
746.00 0.068
747.00 0.068
748.00 0.063
749.00 0.057
750.00 0.057
751.00 0.055
752.00 0.070
753.00 0.056
754.00 0.064
755.00 0.059
756.00 0.050
757.00 0.059
758.00 0.055
759.00 0.054
760.00 0.056
761.00 0.060
762.00 0.058
763.00 0.057
764.00 0.050
765.00 0.059
766.00 0.055
767.00 0.056
768.00 0.057
769.00 0.046
770.00 0.048
771.00 0.051
772.00 0.050
773.00 0.050
774.00 0.051
775.00 0.058
776.00 0.057
777.00 0.057
778.00 0.054
779.00 0.056
780.00 0.054
781.00 0.057
782.00 0.055
783.00 0.064
784.00 0.056
785.00 0.046
786.00 0.051
787.00 0.050
788.00 0.057
789.00 0.057
790.00 0.050
791.00 0.055
792.00 0.056
793.00 0.048
794.00 0.050
795.00 0.047
796.00 0.053
797.00 0.053
798.00 0.053
799.00 0.045
800.00 0.052
801.00 0.052
802.00 0.049
803.00 0.058
804.00 0.051
805.00 0.047
806.00 0.049
807.00 0.047
808.00 0.054
809.00 0.042
810.00 0.047
811.00 0.053
812.00 0.054
813.00 0.048
814.00 0.047
815.00 0.041
816.00 0.042
817.00 0.040
818.00 0.049
819.00 0.038
820.00 0.038
821.00 0.047
822.00 0.058
823.00 0.050
824.00 0.054
825.00 0.049
826.00 0.032
827.00 0.039
