lambda intensity
350.00 0.117
351.00 -0.000
352.00 0.313
353.00 0.245
354.00 0.189
355.00 0.484
356.00 -0.533
357.00 0.040
358.00 0.117
359.00 -0.066
360.00 0.218
361.00 -1.012
362.00 -1.087
363.00 -0.090
364.00 0.604
365.00 0.559
366.00 0.713
367.00 0.461
368.00 0.776
369.00 0.075
370.00 0.399
371.00 0.399
372.00 0.080
373.00 0.172
374.00 0.250
375.00 0.132
376.00 0.423
377.00 0.101
378.00 -0.051
379.00 0.588
380.00 0.239
381.00 0.333
382.00 0.610
383.00 0.260
384.00 0.241
385.00 0.570
386.00 0.310
387.00 0.209
388.00 0.422
389.00 0.335
390.00 0.335
391.00 0.230
392.00 0.314
393.00 0.237
394.00 0.313
395.00 0.358
396.00 0.288
397.00 0.299
398.00 0.345
399.00 0.301
400.00 0.291
401.00 0.329
402.00 0.346
403.00 0.252
404.00 0.276
405.00 0.277
406.00 0.294
407.00 0.252
408.00 0.283
409.00 0.242
410.00 0.255
411.00 0.237
412.00 0.264
413.00 0.241
414.00 0.255
415.00 0.272
416.00 0.232
417.00 0.255
418.00 0.249
419.00 0.258
420.00 0.224
421.00 0.213
422.00 0.219
423.00 0.209
424.00 0.199
425.00 0.189
426.00 0.201
427.00 0.199
428.00 0.181
429.00 0.201
430.00 0.183
431.00 0.179
432.00 0.185
433.00 0.175
434.00 0.171
435.00 0.148
436.00 0.156
437.00 0.157
438.00 0.161
439.00 0.147
440.00 0.148
441.00 0.147
442.00 0.152
443.00 0.143
444.00 0.138
445.00 0.138
446.00 0.134
447.00 0.136
448.00 0.130
449.00 0.130
450.00 0.138
451.00 0.126
452.00 0.127
453.00 0.123
454.00 0.128
455.00 0.121
456.00 0.117
457.00 0.123
458.00 0.118
459.00 0.117
460.00 0.121
461.00 0.128
462.00 0.123
463.00 0.123
464.00 0.123
465.00 0.105
466.00 0.110
467.00 0.111
468.00 0.111
469.00 0.114
470.00 0.117
471.00 0.112
472.00 0.113
473.00 0.112
474.00 0.105
475.00 0.112
476.00 0.099
477.00 0.116
478.00 0.106
479.00 0.106
480.00 0.113
481.00 0.109
482.00 0.105
483.00 0.102
484.00 0.109
485.00 0.106
486.00 0.114
487.00 0.105
488.00 0.104
489.00 0.098
490.00 0.104
491.00 0.099
492.00 0.114
493.00 0.098
494.00 0.095
495.00 0.107
496.00 0.108
497.00 0.100
498.00 0.104
499.00 0.113
500.00 0.108
501.00 0.109
502.00 0.106
503.00 0.107
504.00 0.109
505.00 0.108
506.00 0.109
507.00 0.097
508.00 0.106
509.00 0.113
510.00 0.110
511.00 0.114
512.00 0.115
513.00 0.113
514.00 0.120
515.00 0.119
516.00 0.115
517.00 0.119
518.00 0.120
519.00 0.125
520.00 0.124
521.00 0.124
522.00 0.129
523.00 0.124
524.00 0.131
525.00 0.123
526.00 0.135
527.00 0.133
528.00 0.125
529.00 0.133
530.00 0.131
531.00 0.144
532.00 0.144
533.00 0.142
534.00 0.145
535.00 0.141
536.00 0.146
537.00 0.151
538.00 0.150
539.00 0.155
540.00 0.152
541.00 0.156
542.00 0.154
543.00 0.157
544.00 0.162
545.00 0.164
546.00 0.165
547.00 0.165
548.00 0.179
549.00 0.170
550.00 0.174
551.00 0.179
552.00 0.176
553.00 0.180
554.00 0.177
555.00 0.180
556.00 0.181
557.00 0.188
558.00 0.185
559.00 0.186
560.00 0.183
561.00 0.191
562.00 0.186
563.00 0.188
564.00 0.192
565.00 0.189
566.00 0.184
567.00 0.178
568.00 0.185
569.00 0.182
570.00 0.179
571.00 0.182
572.00 0.183
573.00 0.179
574.00 0.182
575.00 0.182
576.00 0.188
577.00 0.179
578.00 0.179
579.00 0.184
580.00 0.184
581.00 0.189
582.00 0.185
583.00 0.185
584.00 0.189
585.00 0.197
586.00 0.198
587.00 0.193
588.00 0.196
589.00 0.198
590.00 0.197
591.00 0.202
592.00 0.200
593.00 0.200
594.00 0.204
595.00 0.208
596.00 0.207
597.00 0.206
598.00 0.215
599.00 0.211
600.00 0.213
601.00 0.214
602.00 0.215
603.00 0.223
604.00 0.223
605.00 0.220
606.00 0.227
607.00 0.227
608.00 0.231
609.00 0.234
610.00 0.236
611.00 0.241
612.00 0.245
613.00 0.241
614.00 0.244
615.00 0.249
616.00 0.259
617.00 0.258
618.00 0.260
619.00 0.265
620.00 0.269
621.00 0.268
622.00 0.276
623.00 0.281
624.00 0.288
625.00 0.295
626.00 0.299
627.00 0.301
628.00 0.303
629.00 0.310
630.00 0.315
631.00 0.319
632.00 0.329
633.00 0.326
634.00 0.330
635.00 0.333
636.00 0.348
637.00 0.350
638.00 0.345
639.00 0.356
640.00 0.365
641.00 0.373
642.00 0.371
643.00 0.373
644.00 0.381
645.00 0.381
646.00 0.381
647.00 0.379
648.00 0.387
649.00 0.388
650.00 0.388
651.00 0.386
652.00 0.383
653.00 0.382
654.00 0.386
655.00 0.387
656.00 0.380
657.00 0.382
658.00 0.373
659.00 0.372
660.00 0.368
661.00 0.364
662.00 0.361
663.00 0.360
664.00 0.358
665.00 0.357
666.00 0.342
667.00 0.340
668.00 0.343
669.00 0.337
670.00 0.330
671.00 0.328
672.00 0.317
673.00 0.319
674.00 0.314
675.00 0.316
676.00 0.314
677.00 0.313
678.00 0.306
679.00 0.304
680.00 0.307
681.00 0.303
682.00 0.312
683.00 0.303
684.00 0.304
685.00 0.303
686.00 0.300
687.00 0.305
688.00 0.301
689.00 0.310
690.00 0.313
691.00 0.305
692.00 0.309
693.00 0.314
694.00 0.313
695.00 0.312
696.00 0.318
697.00 0.323
698.00 0.325
699.00 0.327
700.00 0.329
701.00 0.332
702.00 0.333
703.00 0.340
704.00 0.339
705.00 0.347
706.00 0.346
707.00 0.356
708.00 0.360
709.00 0.356
710.00 0.369
711.00 0.376
712.00 0.385
713.00 0.389
714.00 0.394
715.00 0.396
716.00 0.404
717.00 0.413
718.00 0.417
719.00 0.426
720.00 0.419
721.00 0.427
722.00 0.432
723.00 0.438
724.00 0.447
725.00 0.455
726.00 0.451
727.00 0.465
728.00 0.460
729.00 0.467
730.00 0.469
731.00 0.470
732.00 0.479
733.00 0.488
734.00 0.485
735.00 0.483
736.00 0.483
737.00 0.490
738.00 0.481
739.00 0.488
740.00 0.484
741.00 0.480
742.00 0.486
743.00 0.471
744.00 0.468
745.00 0.470
746.00 0.471
747.00 0.465
748.00 0.455
749.00 0.444
750.00 0.441
751.00 0.428
752.00 0.436
753.00 0.415
754.00 0.413
755.00 0.402
756.00 0.383
757.00 0.380
758.00 0.369
759.00 0.356
760.00 0.348
761.00 0.344
762.00 0.326
763.00 0.309
764.00 0.294
765.00 0.289
766.00 0.276
767.00 0.268
768.00 0.256
769.00 0.233
770.00 0.222
771.00 0.216
772.00 0.207
773.00 0.198
774.00 0.189
775.00 0.186
776.00 0.183
777.00 0.163
778.00 0.153
779.00 0.151
780.00 0.138
781.00 0.130
782.00 0.126
783.00 0.128
784.00 0.110
785.00 0.104
786.00 0.091
787.00 0.083
788.00 0.081
789.00 0.080
790.00 0.070
791.00 0.064
792.00 0.063
793.00 0.049
794.00 0.049
795.00 0.044
796.00 0.036
797.00 0.029
798.00 0.036
799.00 0.027
800.00 0.032
