lambda intensity
350.00 1.029
351.00 -0.000
352.00 0.523
353.00 0.171
354.00 0.213
355.00 0.271
356.00 -0.295
357.00 0.098
358.00 0.152
359.00 -0.153
360.00 0.024
361.00 -0.937
362.00 -0.793
363.00 -0.214
364.00 0.235
365.00 0.278
366.00 0.481
367.00 0.342
368.00 -0.062
369.00 -0.000
370.00 0.237
371.00 0.128
372.00 -0.092
373.00 0.026
374.00 0.137
375.00 -0.040
376.00 0.195
377.00 -0.023
378.00 -0.233
379.00 0.244
380.00 0.004
381.00 0.170
382.00 0.245
383.00 0.095
384.00 0.014
385.00 0.264
386.00 0.151
387.00 0.055
388.00 0.130
389.00 0.092
390.00 0.112
391.00 0.008
392.00 0.100
393.00 0.055
394.00 0.082
395.00 0.161
396.00 0.100
397.00 0.123
398.00 0.104
399.00 0.122
400.00 0.105
401.00 0.116
402.00 0.120
403.00 0.089
404.00 0.101
405.00 0.107
406.00 0.124
407.00 0.097
408.00 0.120
409.00 0.088
410.00 0.086
411.00 0.083
412.00 0.119
413.00 0.091
414.00 0.119
415.00 0.132
416.00 0.093
417.00 0.127
418.00 0.128
419.00 0.127
420.00 0.106
421.00 0.111
422.00 0.114
423.00 0.114
424.00 0.105
425.00 0.099
426.00 0.112
427.00 0.113
428.00 0.111
429.00 0.133
430.00 0.111
431.00 0.114
432.00 0.126
433.00 0.123
434.00 0.121
435.00 0.102
436.00 0.114
437.00 0.119
438.00 0.126
439.00 0.111
440.00 0.122
441.00 0.119
442.00 0.128
443.00 0.124
444.00 0.121
445.00 0.129
446.00 0.129
447.00 0.131
448.00 0.120
449.00 0.122
450.00 0.134
451.00 0.128
452.00 0.128
453.00 0.129
454.00 0.139
455.00 0.137
456.00 0.134
457.00 0.136
458.00 0.137
459.00 0.138
460.00 0.145
461.00 0.153
462.00 0.151
463.00 0.164
464.00 0.164
465.00 0.152
466.00 0.158
467.00 0.160
468.00 0.168
469.00 0.174
470.00 0.178
471.00 0.181
472.00 0.181
473.00 0.189
474.00 0.188
475.00 0.198
476.00 0.194
477.00 0.216
478.00 0.210
479.00 0.218
480.00 0.229
481.00 0.230
482.00 0.235
483.00 0.239
484.00 0.256
485.00 0.259
486.00 0.277
487.00 0.279
488.00 0.288
489.00 0.294
490.00 0.309
491.00 0.316
492.00 0.337
493.00 0.338
494.00 0.351
495.00 0.377
496.00 0.389
497.00 0.397
498.00 0.417
499.00 0.438
500.00 0.447
501.00 0.471
502.00 0.481
503.00 0.493
504.00 0.512
505.00 0.520
506.00 0.534
507.00 0.539
508.00 0.561
509.00 0.580
510.00 0.595
511.00 0.610
512.00 0.627
513.00 0.630
514.00 0.656
515.00 0.665
516.00 0.674
517.00 0.696
518.00 0.710
519.00 0.731
520.00 0.748
521.00 0.770
522.00 0.795
523.00 0.811
524.00 0.842
525.00 0.853
526.00 0.900
527.00 0.925
528.00 0.953
529.00 0.993
530.00 1.024
531.00 1.080
532.00 1.115
533.00 1.132
534.00 1.189
535.00 1.187
536.00 1.246
537.00 1.272
538.00 1.303
539.00 1.323
540.00 1.333
541.00 1.352
542.00 1.343
543.00 1.361
544.00 1.374
545.00 1.338
546.00 1.329
547.00 1.331
548.00 1.297
549.00 1.271
550.00 1.256
551.00 1.218
552.00 1.177
553.00 1.126
554.00 1.090
555.00 1.035
556.00 0.985
557.00 0.944
558.00 0.885
559.00 0.830
560.00 0.777
561.00 0.726
562.00 0.671
563.00 0.624
564.00 0.579
565.00 0.534
566.00 0.487
567.00 0.445
568.00 0.418
569.00 0.384
570.00 0.354
571.00 0.332
572.00 0.307
573.00 0.280
574.00 0.265
575.00 0.246
576.00 0.240
577.00 0.213
578.00 0.206
579.00 0.198
580.00 0.187
581.00 0.184
582.00 0.172
583.00 0.161
584.00 0.155
585.00 0.153
586.00 0.149
587.00 0.137
588.00 0.138
589.00 0.134
590.00 0.129
591.00 0.129
592.00 0.124
593.00 0.121
594.00 0.120
595.00 0.120
596.00 0.121
597.00 0.115
598.00 0.119
599.00 0.112
600.00 0.111
601.00 0.110
602.00 0.106
603.00 0.112
604.00 0.111
605.00 0.105
606.00 0.107
607.00 0.104
608.00 0.111
609.00 0.109
610.00 0.106
611.00 0.109
612.00 0.113
613.00 0.105
614.00 0.104
615.00 0.104
616.00 0.110
617.00 0.102
618.00 0.100
619.00 0.104
620.00 0.103
621.00 0.099
622.00 0.102
623.00 0.106
624.00 0.104
625.00 0.105
626.00 0.106
627.00 0.103
628.00 0.101
629.00 0.104
630.00 0.102
631.00 0.099
632.00 0.102
633.00 0.098
634.00 0.097
635.00 0.098
636.00 0.103
637.00 0.104
638.00 0.094
639.00 0.099
640.00 0.105
641.00 0.108
642.00 0.105
643.00 0.104
644.00 0.103
645.00 0.101
646.00 0.101
647.00 0.102
648.00 0.106
649.00 0.102
650.00 0.106
651.00 0.105
652.00 0.101
653.00 0.099
654.00 0.100
655.00 0.102
656.00 0.103
657.00 0.104
658.00 0.101
659.00 0.099
660.00 0.097
661.00 0.098
662.00 0.101
663.00 0.103
664.00 0.103
665.00 0.104
666.00 0.101
667.00 0.099
668.00 0.104
669.00 0.103
